method,seed,trial_id,freezing_ratio,learning_rate,dropout_rate,l2_reg,optimizer,batch_size,val_accuracy,test_accuracy,best_epoch,total_epochs,training_time_seconds,from_cache,timestamp
differential_evolution,0,0,0.9,5e-05,0.0,0.001,sgd,32,0.40772533416748047,0.5043103694915771,34,40,94.8,False,2026-05-29T05:15:42.707560
differential_evolution,0,1,0.9,0.001,0.4,0.1,sgd,8,0.8969957232475281,0.8793103694915771,25,36,65.4,False,2026-05-29T05:16:49.026408
differential_evolution,0,2,0.99,1e-05,0.5,0.002,sgd,16,0.32188841700553894,0.2931034564971924,36,40,83.6,False,2026-05-29T05:18:41.755223
differential_evolution,0,3,0.8,0.0001,0.0,0.001,sgd,16,0.6223176121711731,0.6336206793785095,29,40,98.1,False,2026-05-29T06:17:38.238815
differential_evolution,0,4,0.9,0.0001,0.6,0.1,sgd,16,0.6695278882980347,0.6724137663841248,33,40,68.4,False,2026-05-29T06:18:49.870643
differential_evolution,0,5,0.95,0.0001,0.0,0.05,adamw,8,0.9141631126403809,0.8965517282485962,15,26,52.0,False,2026-05-29T06:19:42.822731
differential_evolution,0,6,0.85,0.005,0.6,0.005,adamw,8,0.9356223344802856,0.9181034564971924,22,33,60.3,False,2026-05-29T06:20:44.189935
differential_evolution,0,7,0.9,0.0001,0.3,0.1,adam,16,0.9184549450874329,0.9267241358757019,21,32,61.7,False,2026-05-29T06:21:49.475025
differential_evolution,0,8,0.7,0.001,0.5,0.002,sgd,8,0.9356223344802856,0.9008620977401733,20,31,61.5,False,2026-05-29T06:22:52.090186
differential_evolution,0,9,0.85,1e-05,0.3,0.05,adam,8,0.8240343332290649,0.8232758641242981,29,40,69.0,False,2026-05-29T06:24:02.365507
differential_evolution,0,10,0.7,0.0005,0.2,0.002,adamw,32,0.9227467775344849,0.9525862336158752,15,26,73.7,False,2026-05-29T06:25:19.727879
differential_evolution,0,11,0.9,0.005,0.4,0.01,adamw,8,0.9313304424285889,0.9137930870056152,31,40,67.0,False,2026-05-29T06:26:28.107621
differential_evolution,0,12,0.9,0.0001,0.0,0.02,adam,16,0.9270386099815369,0.9267241358757019,16,27,56.2,False,2026-05-29T06:27:28.409416
differential_evolution,0,13,0.8,0.0005,0.2,0.001,sgd,16,0.8626609444618225,0.892241358757019,19,30,62.2,False,2026-05-29T06:28:34.400239
differential_evolution,0,14,0.9,1e-05,0.6,0.001,adamw,32,0.6351931095123291,0.5818965435028076,31,40,69.4,False,2026-05-29T06:29:47.785107
differential_evolution,0,15,0.95,1e-05,0.2,0.001,sgd,8,0.31330472230911255,0.3232758641242981,34,40,63.2,False,2026-05-29T06:30:52.569695
differential_evolution,0,16,0.99,1e-05,0.2,0.02,adamw,32,0.6180257797241211,0.625,30,40,62.4,False,2026-05-29T06:31:59.137687
differential_evolution,0,17,0.85,1e-05,0.4,0.1,sgd,8,0.3862660825252533,0.35775861144065857,28,39,65.9,False,2026-05-29T06:33:06.761387
differential_evolution,0,18,0.9,1e-05,0.6,0.002,adamw,16,0.7381974458694458,0.7241379022598267,31,40,72.2,False,2026-05-29T06:34:23.155094
differential_evolution,0,19,0.95,1e-05,0.0,0.005,adam,32,0.6566523313522339,0.7198275923728943,24,35,59.8,False,2026-05-29T06:35:27.320407
differential_evolution,0,20,0.8,0.005,0.2,0.001,adamw,16,0.9270386099815369,0.9181034564971924,29,40,77.6,False,2026-05-29T06:36:49.405547
differential_evolution,0,21,0.99,0.0001,0.6,0.1,adamw,32,0.8197425007820129,0.818965494632721,19,30,53.1,False,2026-05-29T06:37:46.932721
differential_evolution,0,22,0.7,0.0005,0.6,0.005,adam,8,0.9313304424285889,0.9137930870056152,11,22,53.6,False,2026-05-29T06:38:42.480469
differential_evolution,0,23,0.7,0.0001,0.3,0.005,adam,16,0.9227467775344848,0.9224137663841248,,,0.0,True,2026-05-29T06:38:42.496519
differential_evolution,0,24,0.8,1e-05,0.6,0.1,adam,32,0.6566523313522339,0.6551724076271057,33,40,72.1,False,2026-05-29T06:39:59.251189
differential_evolution,0,25,0.8,1e-05,0.0,0.05,adam,8,0.8583691120147705,0.8620689511299133,30,40,72.1,False,2026-05-29T06:41:13.573438
differential_evolution,0,26,0.99,1e-05,0.5,0.1,adamw,32,0.6266094446182251,0.5818965435028076,34,40,87.3,False,2026-05-29T06:45:27.732749
differential_evolution,0,27,0.7,0.0005,0.0,0.001,adamw,32,0.9313304424285889,0.9353448152542114,11,22,65.2,False,2026-05-29T06:46:36.181954
differential_evolution,0,28,0.85,5e-05,0.6,0.1,sgd,8,0.6566523313522339,0.6724137663841248,34,40,71.6,False,2026-05-29T06:47:48.731320
differential_evolution,0,29,0.8,0.0005,0.3,0.005,adam,32,0.9399141669273376,0.9353448152542114,,,0.0,True,2026-05-29T06:47:48.739486
differential_evolution,0,30,0.7,0.0005,0.6,0.01,adamw,8,0.9399141669273376,0.943965494632721,24,35,71.4,False,2026-05-29T06:49:01.220831
differential_evolution,0,31,0.99,0.001,0.6,0.1,sgd,32,0.7811158895492554,0.7801724076271057,20,31,53.3,False,2026-05-29T06:49:58.014496
differential_evolution,0,32,0.7,0.005,0.6,0.005,sgd,8,0.9313304424285888,0.943965494632721,,,0.0,True,2026-05-29T06:49:58.024729
differential_evolution,0,33,0.7,0.001,0.6,0.1,sgd,8,0.9184549450874329,0.9181034564971924,14,25,53.6,False,2026-05-29T06:50:52.849554
differential_evolution,0,34,0.9,0.001,0.4,0.01,sgd,8,0.9055793881416321,0.9094827771186829,18,29,52.6,False,2026-05-29T06:51:46.757726
differential_evolution,0,35,0.85,0.001,0.6,0.01,adamw,16,0.9270386099815369,0.892241358757019,6,17,57.4,False,2026-05-29T06:52:47.908369
differential_evolution,0,36,0.85,0.001,0.6,0.02,adam,8,0.9227467775344849,0.9482758641242981,8,19,44.5,False,2026-05-29T06:53:33.823765
differential_evolution,0,37,0.7,0.0005,0.0,0.001,adam,32,0.9184549450874329,0.9224137663841248,11,22,57.1,False,2026-05-29T06:54:34.846732
differential_evolution,0,38,0.95,0.005,0.6,0.01,sgd,8,0.9141631126403809,0.8965517282485962,18,29,50.8,False,2026-05-29T06:55:27.203236
differential_evolution,0,39,0.8,0.001,0.5,0.005,adam,16,0.9442059993743896,0.931034505367279,,,0.0,True,2026-05-29T06:55:27.223284
differential_evolution,0,40,0.95,0.001,0.6,0.01,adamw,16,0.9270386099815369,0.9137930870056152,15,26,53.8,False,2026-05-29T06:56:25.080143
differential_evolution,0,41,0.9,0.0001,0.2,0.02,adamw,16,0.9313304424285889,0.931034505367279,20,31,62.3,False,2026-05-29T06:57:31.417062
differential_evolution,0,42,0.99,0.005,0.6,0.01,sgd,8,0.8755365014076233,0.9137930870056152,24,35,56.0,False,2026-05-29T06:58:29.076334
differential_evolution,0,43,0.7,0.0005,0.6,0.002,adam,16,0.9484978318214417,0.9094827771186829,15,26,66.4,False,2026-05-29T06:59:39.728382
differential_evolution,0,44,0.95,0.005,0.6,0.01,sgd,16,0.9055793881416321,0.892241358757019,17,28,54.6,False,2026-05-29T07:00:38.731926
differential_evolution,0,45,0.7,5e-05,0.6,0.005,adam,8,0.9098712205886841,0.9267241358757019,9,20,51.9,False,2026-05-29T07:01:32.718112
differential_evolution,0,46,0.8,0.0005,0.0,0.005,adamw,8,0.9184549450874329,0.931034505367279,1,12,38.6,False,2026-05-29T07:02:13.330532
