method,seed,trial_id,freezing_ratio,learning_rate,dropout_rate,l2_reg,optimizer,batch_size,val_accuracy,test_accuracy,best_epoch,total_epochs,training_time_seconds,from_cache,timestamp
firefly_algorithm,0,0,0.9,5e-05,0.0,0.001,sgd,32,0.4077253341674804,0.5043103694915771,,,0.0,True,2026-05-30T17:39:21.553738
firefly_algorithm,0,1,0.9,0.001,0.4,0.1,sgd,8,0.8969957232475281,0.8793103694915771,,,0.0,True,2026-05-30T17:39:21.554231
firefly_algorithm,0,2,0.99,1e-05,0.5,0.002,sgd,16,0.3218884170055389,0.2931034564971924,,,0.0,True,2026-05-30T17:39:21.554706
firefly_algorithm,0,3,0.8,0.0001,0.0,0.001,sgd,16,0.6223176121711731,0.6336206793785095,,,0.0,True,2026-05-30T17:39:21.555124
firefly_algorithm,0,4,0.9,0.0001,0.6,0.1,sgd,16,0.6695278882980347,0.6724137663841248,,,0.0,True,2026-05-30T17:39:21.555541
firefly_algorithm,0,5,0.95,0.0001,0.0,0.05,adamw,8,0.9141631126403807,0.8965517282485962,,,0.0,True,2026-05-30T17:39:21.555956
firefly_algorithm,0,6,0.85,0.005,0.6,0.005,adamw,8,0.9356223344802856,0.9181034564971924,,,0.0,True,2026-05-30T17:39:21.556383
firefly_algorithm,0,7,0.9,0.0001,0.3,0.1,adam,16,0.9184549450874328,0.926724135875702,,,0.0,True,2026-05-30T17:39:21.556819
firefly_algorithm,0,8,0.7,0.001,0.5,0.002,sgd,8,0.9356223344802856,0.9008620977401732,,,0.0,True,2026-05-30T17:39:21.557248
firefly_algorithm,0,9,0.85,1e-05,0.3,0.05,adam,8,0.8240343332290649,0.8232758641242981,,,0.0,True,2026-05-30T17:39:21.557745
firefly_algorithm,0,10,0.85,0.001,0.5,0.005,adamw,16,0.9356223344802856,0.931034505367279,16,27,88.1,False,2026-05-30T17:40:56.712990
firefly_algorithm,0,11,0.85,0.001,0.4,0.002,adamw,16,0.9184549450874329,0.9224137663841248,4,15,46.4,False,2026-05-30T17:41:46.276900
firefly_algorithm,0,12,0.85,0.001,0.5,0.005,adamw,16,0.9356223344802856,0.931034505367279,,,0.0,True,2026-05-30T17:41:46.282371
firefly_algorithm,0,13,0.9,0.001,0.6,0.005,adamw,16,0.9227467775344848,0.9353448152542114,,,0.0,True,2026-05-30T17:41:46.289953
firefly_algorithm,0,14,0.85,0.001,0.5,0.01,adamw,16,0.9313304424285889,0.943965494632721,23,34,67.1,False,2026-05-30T17:42:56.666281
firefly_algorithm,0,15,0.9,0.005,0.4,0.01,sgd,16,0.9270386099815368,0.9353448152542114,,,0.0,True,2026-05-30T17:42:56.673741
firefly_algorithm,0,16,0.85,0.001,0.6,0.01,adamw,8,0.9141631126403809,0.9353448152542114,8,19,49.9,False,2026-05-30T17:43:47.679836
firefly_algorithm,0,17,0.9,0.001,0.5,0.005,adamw,16,0.9313304424285889,0.9094827771186829,13,24,55.3,False,2026-05-30T17:44:46.481821
firefly_algorithm,0,18,0.85,0.005,0.6,0.002,adamw,8,0.9399141669273376,0.9137930870056152,,,0.0,True,2026-05-30T17:44:46.491824
firefly_algorithm,0,19,0.85,0.005,0.6,0.001,sgd,8,0.9184549450874329,0.9267241358757019,5,16,40.8,False,2026-05-30T17:45:28.587649
firefly_algorithm,0,20,0.8,0.005,0.6,0.002,adamw,8,0.9184549450874329,0.9224137663841248,11,22,53.6,False,2026-05-30T17:46:23.634334
firefly_algorithm,0,21,0.85,0.005,0.6,0.002,adamw,8,0.9399141669273376,0.9137930870056152,,,0.0,True,2026-05-30T17:46:23.645724
firefly_algorithm,0,22,0.9,0.005,0.5,0.001,sgd,8,0.9270386099815368,0.9353448152542114,,,0.0,True,2026-05-30T17:46:23.653672
firefly_algorithm,0,23,0.9,0.001,0.6,0.002,sgd,8,0.9098712205886841,0.9137930870056152,14,25,50.5,False,2026-05-30T17:47:15.633842
firefly_algorithm,0,24,0.85,0.005,0.5,0.002,adamw,8,0.9184549450874329,0.8836206793785095,15,26,58.9,False,2026-05-30T17:48:16.162057
firefly_algorithm,0,25,0.8,0.001,0.5,0.002,adamw,8,0.9270386099815369,0.943965494632721,20,31,62.7,False,2026-05-30T17:49:20.367488
firefly_algorithm,0,26,0.9,0.001,0.6,0.001,adamw,8,0.9098712205886841,0.9353448152542114,2,13,37.2,False,2026-05-30T17:49:59.096897
firefly_algorithm,0,27,0.85,0.005,0.6,0.001,adamw,8,0.9313304424285889,0.8879310488700867,16,27,55.0,False,2026-05-30T17:50:55.668882
firefly_algorithm,0,28,0.9,0.005,0.5,0.005,adamw,8,0.9227467775344849,0.9224137663841248,16,27,53.1,False,2026-05-30T17:51:50.430341
firefly_algorithm,0,29,0.85,0.005,0.6,0.005,sgd,8,0.9141631126403807,0.9353448152542114,,,0.0,True,2026-05-30T17:51:50.442450
firefly_algorithm,0,30,0.9,0.001,0.5,0.002,sgd,8,0.9227467775344849,0.9008620977401733,18,29,53.6,False,2026-05-30T17:52:45.748242
firefly_algorithm,0,31,0.85,0.005,0.6,0.002,adamw,8,0.9399141669273376,0.9137930870056152,,,0.0,True,2026-05-30T17:52:45.762578
firefly_algorithm,0,32,0.85,0.005,0.6,0.002,adamw,8,0.9399141669273376,0.9137930870056152,,,0.0,True,2026-05-30T17:52:45.763240
firefly_algorithm,0,33,0.9,0.005,0.5,0.001,adamw,8,0.9012875556945801,0.9137930870056152,18,29,56.2,False,2026-05-30T17:53:43.904165
firefly_algorithm,0,34,0.85,0.005,0.6,0.001,adamw,8,0.9313304424285889,0.8879310488700867,,,0.0,True,2026-05-30T17:53:43.925063
firefly_algorithm,0,35,0.85,0.005,0.5,0.002,adamw,8,0.9184549450874329,0.8836206793785095,,,0.0,True,2026-05-30T17:53:43.925699
firefly_algorithm,0,36,0.9,0.005,0.6,0.002,sgd,8,0.9313304424285889,0.931034505367279,15,26,50.0,False,2026-05-30T17:54:35.977652
firefly_algorithm,0,37,0.8,0.005,0.6,0.002,adamw,8,0.9184549450874329,0.9224137663841248,,,0.0,True,2026-05-30T17:54:35.999032
firefly_algorithm,0,38,0.85,0.005,0.6,0.002,adamw,8,0.9399141669273376,0.9137930870056152,,,0.0,True,2026-05-30T17:54:35.999666
firefly_algorithm,0,39,0.85,0.005,0.5,0.002,adamw,16,0.9270386099815369,0.931034505367279,29,40,75.5,False,2026-05-30T17:55:56.186082
firefly_algorithm,0,40,0.85,0.005,0.6,0.002,sgd,8,0.9270386099815369,0.9267241358757019,16,27,52.6,False,2026-05-30T17:56:50.802616
firefly_algorithm,0,41,0.9,0.005,0.5,0.002,adamw,8,0.9270386099815368,0.9181034564971924,,,0.0,True,2026-05-30T17:56:50.821929
firefly_algorithm,0,42,0.9,0.005,0.6,0.001,sgd,8,0.9184549450874329,0.8965517282485962,11,22,45.5,False,2026-05-30T17:57:38.340849
firefly_algorithm,0,43,0.9,0.005,0.6,0.001,adamw,8,0.9141631126403809,0.9137930870056152,14,25,51.0,False,2026-05-30T17:58:31.414455
firefly_algorithm,0,44,0.85,0.005,0.6,0.001,adamw,8,0.9313304424285889,0.8879310488700867,,,0.0,True,2026-05-30T17:58:31.435344
firefly_algorithm,0,45,0.9,0.005,0.5,0.002,sgd,16,0.9313304424285889,0.931034505367279,25,36,65.1,False,2026-05-30T17:59:41.101929
firefly_algorithm,0,46,0.9,0.005,0.6,0.005,adamw,16,0.9270386099815369,0.9094827771186829,11,22,52.7,False,2026-05-30T18:00:38.896186
firefly_algorithm,0,47,0.9,0.005,0.6,0.002,adamw,16,0.9313304424285889,0.943965494632721,24,35,66.6,False,2026-05-30T18:01:50.332964
firefly_algorithm,0,48,0.85,0.001,0.6,0.001,adamw,8,0.9184549450874329,0.9267241358757019,25,36,65.2,False,2026-05-30T18:02:58.011572
firefly_algorithm,0,49,0.85,0.005,0.5,0.005,adamw,8,0.9484978318214417,0.943965494632721,26,37,76.5,False,2026-05-30T18:04:17.419913
firefly_algorithm,0,50,0.9,0.005,0.4,0.005,adamw,16,0.9356223344802856,0.931034505367279,11,22,54.4,False,2026-05-30T18:05:16.989415
firefly_algorithm,0,51,0.85,0.005,0.6,0.002,adamw,8,0.9399141669273376,0.9137930870056152,,,0.0,True,2026-05-30T18:05:17.010100
firefly_algorithm,0,52,0.85,0.005,0.5,0.002,sgd,8,0.9399141669273376,0.9353448152542114,26,37,65.0,False,2026-05-30T18:06:24.515520
firefly_algorithm,0,53,0.8,0.005,0.5,0.005,sgd,8,0.9141631126403807,0.9396551847457886,,,0.0,True,2026-05-30T18:06:24.528011
firefly_algorithm,0,54,0.85,0.005,0.4,0.005,adamw,8,0.9356223344802856,0.9094827771186828,,,0.0,True,2026-05-30T18:06:24.535853
firefly_algorithm,0,55,0.9,0.005,0.5,0.002,adamw,16,0.9399141669273376,0.943965494632721,37,40,73.5,False,2026-05-30T18:07:44.219421
firefly_algorithm,0,56,0.9,0.005,0.5,0.005,adamw,16,0.9313304424285889,0.9353448152542114,25,36,68.8,False,2026-05-30T18:08:58.831647
firefly_algorithm,0,57,0.85,0.005,0.5,0.002,adamw,8,0.9184549450874329,0.8836206793785095,,,0.0,True,2026-05-30T18:08:58.853276
firefly_algorithm,0,58,0.85,0.005,0.6,0.002,adamw,16,0.9313304424285889,0.9181034564971924,17,28,63.6,False,2026-05-30T18:10:08.115966
firefly_algorithm,0,59,0.8,0.005,0.5,0.005,adamw,8,0.9270386099815369,0.9137930870056152,14,25,56.3,False,2026-05-30T18:11:07.447783
firefly_algorithm,0,60,0.9,0.005,0.6,0.002,adamw,8,0.9098712205886841,0.9137930870056152,16,27,54.6,False,2026-05-30T18:12:05.209095
