method,seed,trial_id,freezing_ratio,learning_rate,dropout_rate,l2_reg,optimizer,batch_size,val_accuracy,test_accuracy,best_epoch,total_epochs,training_time_seconds,timestamp
genetic_algorithm,0,0,0.9,0.0005,0.0,0.005,sgd,16,0.8626609444618225,0.857758641242981,32,40,97.6,2026-05-28T16:59:45.662199
genetic_algorithm,0,1,0.9,0.0001,0.4,0.005,sgd,8,0.7381974458694458,0.7543103694915771,32,40,72.0,2026-05-28T17:00:58.563088
genetic_algorithm,0,2,0.95,5e-05,0.3,0.002,adam,32,0.8583691120147705,0.8362069129943848,34,40,77.6,2026-05-28T17:02:20.181980
genetic_algorithm,0,3,0.85,0.001,0.6,0.1,sgd,8,0.9098712205886841,0.9008620977401733,26,37,81.0,2026-05-28T17:04:09.733015
genetic_algorithm,0,4,0.85,1e-05,0.6,0.001,sgd,16,0.20171673595905304,0.21120689809322357,0,11,56.6,2026-05-28T17:05:09.695927
genetic_algorithm,0,5,0.9,0.001,0.0,0.005,adamw,16,0.9356223344802856,0.8965517282485962,6,17,50.8,2026-05-28T17:06:04.583544
genetic_algorithm,0,6,0.95,0.005,0.2,0.02,adamw,16,0.9184549450874329,0.9181034564971924,14,25,59.4,2026-05-28T17:07:08.187381
genetic_algorithm,0,7,0.95,0.0001,0.0,0.1,sgd,8,0.7038626670837402,0.6982758641242981,28,39,70.1,2026-05-28T17:08:19.438543
genetic_algorithm,0,8,0.7,0.005,0.4,0.05,sgd,32,0.9313304424285889,0.9267241358757019,23,34,86.5,2026-05-28T17:09:49.820944
genetic_algorithm,0,9,0.7,0.001,0.4,0.1,adamw,8,0.9313304424285889,0.9137930870056152,11,22,58.8,2026-05-28T17:10:49.817828
genetic_algorithm,0,10,0.95,0.001,0.3,0.005,adamw,16,0.9098712205886841,0.9008620977401733,4,15,48.6,2026-05-28T17:11:43.036769
genetic_algorithm,0,11,0.99,0.001,0.6,0.005,adamw,16,0.8927038908004761,0.8836206793785095,8,19,52.0,2026-05-28T17:12:39.822114
genetic_algorithm,0,12,0.9,0.001,0.2,0.1,adamw,8,0.9313304424285889,0.8879310488700867,8,19,51.7,2026-05-28T17:13:33.561121
genetic_algorithm,0,13,0.8,0.005,0.6,0.01,sgd,8,0.9227467775344849,0.9353448152542114,8,19,50.9,2026-05-28T17:14:26.249930
genetic_algorithm,0,14,0.7,0.001,0.0,0.05,adamw,16,0.9270386099815369,0.9181034564971924,13,24,75.8,2026-05-28T17:15:46.715669
genetic_algorithm,0,15,0.7,0.005,0.4,0.05,adamw,32,0.9484978318214417,0.943965494632721,32,40,83.5,2026-05-28T17:17:15.457315
genetic_algorithm,0,16,0.9,0.005,0.4,0.05,adamw,8,0.9270386099815369,0.9137930870056152,17,28,63.8,2026-05-28T17:18:21.509956
genetic_algorithm,0,17,0.9,0.001,0.6,0.005,adamw,16,0.9227467775344849,0.9353448152542114,9,20,61.4,2026-05-28T17:19:28.665480
genetic_algorithm,0,18,0.95,5e-05,0.3,0.002,sgd,32,0.43776825070381165,0.4094827473163605,31,40,74.1,2026-05-28T17:20:48.015258
genetic_algorithm,0,19,0.9,0.001,0.6,0.01,adamw,8,0.9356223344802856,0.9094827771186829,5,16,45.2,2026-05-28T17:21:35.110484
genetic_algorithm,0,20,0.9,0.005,0.2,0.02,adamw,8,0.9442059993743896,0.931034505367279,16,27,56.2,2026-05-28T17:22:33.288458
genetic_algorithm,0,21,0.95,0.005,0.4,0.05,adam,8,0.8841201663017273,0.8405172228813171,4,15,40.8,2026-05-28T17:23:16.157097
genetic_algorithm,0,22,0.7,0.001,0.4,0.01,adamw,32,0.9184549450874329,0.8965517282485962,7,18,60.0,2026-05-28T17:24:21.590894
genetic_algorithm,0,23,0.9,0.001,0.4,0.01,adamw,8,0.9012875556945801,0.8879310488700867,2,13,39.2,2026-05-28T17:25:03.297635
genetic_algorithm,0,24,0.9,0.001,0.4,0.005,adamw,16,0.9141631126403809,0.9181034564971924,5,16,50.1,2026-05-28T17:25:58.110140
genetic_algorithm,0,25,0.9,0.0001,0.0,0.05,adamw,16,0.9227467775344849,0.9396551847457886,25,36,70.0,2026-05-28T17:27:14.003479
genetic_algorithm,0,26,0.85,0.001,0.4,0.1,adamw,8,0.9270386099815369,0.9396551847457886,17,28,61.1,2026-05-28T17:28:18.161354
genetic_algorithm,0,27,0.9,0.001,0.0,0.005,adamw,8,0.8969957232475281,0.9224137663841248,1,12,38.4,2026-05-28T17:28:58.969895
genetic_algorithm,0,28,0.7,0.005,0.4,0.05,adamw,16,0.9184549450874329,0.931034505367279,19,30,76.2,2026-05-28T17:30:21.633482
genetic_algorithm,0,29,0.7,0.001,0.6,0.01,adamw,8,0.9313304424285889,0.9396551847457886,11,22,63.3,2026-05-28T17:31:27.958877
genetic_algorithm,0,30,0.9,0.005,0.4,0.02,adamw,8,0.9055793881416321,0.8965517282485962,8,19,45.0,2026-05-28T17:32:16.115846
genetic_algorithm,0,31,0.9,0.001,0.4,0.05,adamw,32,0.9313304424285889,0.943965494632721,12,23,55.0,2026-05-28T17:33:17.415264
genetic_algorithm,0,32,0.9,0.0005,0.0,0.05,adamw,16,0.9399141669273376,0.9224137663841248,8,19,54.4,2026-05-28T17:34:18.476755
genetic_algorithm,0,33,0.85,0.005,0.4,0.1,adam,16,0.9527897238731384,0.931034505367279,22,33,71.7,2026-05-28T17:35:36.617214
genetic_algorithm,0,34,0.85,0.0001,0.4,0.02,adamw,8,0.9184549450874329,0.931034505367279,10,21,53.5,2026-05-28T17:36:33.538170
genetic_algorithm,0,35,0.85,0.0001,0.4,0.05,adamw,16,0.9184549450874329,0.931034505367279,21,32,71.6,2026-05-28T17:37:51.926682
genetic_algorithm,0,36,0.95,0.005,0.4,0.05,adamw,32,0.9184549450874329,0.9094827771186829,23,34,65.4,2026-05-28T17:39:04.683775
genetic_algorithm,0,37,0.7,0.0005,0.4,0.05,adamw,32,0.9356223344802856,0.9224137663841248,11,22,66.1,2026-05-28T17:40:17.837866
genetic_algorithm,0,38,0.85,5e-05,0.4,0.01,sgd,8,0.6523604989051819,0.6206896305084229,25,36,72.4,2026-05-28T17:41:35.305680
genetic_algorithm,0,39,0.9,0.0005,0.0,0.001,adam,16,0.9227467775344849,0.931034505367279,9,20,57.8,2026-05-28T17:42:40.296420
genetic_algorithm,0,40,0.9,0.001,0.4,0.05,adamw,16,0.9270386099815369,0.9482758641242981,10,21,62.2,2026-05-28T17:43:52.959223
genetic_algorithm,0,41,0.8,0.0001,0.4,0.02,adamw,8,0.9184549450874329,0.931034505367279,10,21,61.3,2026-05-28T17:45:01.396662
genetic_algorithm,0,42,0.9,1e-05,0.0,0.05,adamw,8,0.8111587762832642,0.7931034564971924,31,40,89.3,2026-05-28T17:46:38.111926
genetic_algorithm,0,43,0.7,0.005,0.4,0.1,adam,16,0.9356223344802856,0.9267241358757019,36,40,100.4,2026-05-28T17:48:27.628296
genetic_algorithm,0,44,0.99,0.001,0.6,0.01,adamw,16,0.8927038908004761,0.9051724076271057,11,22,60.5,2026-05-28T17:49:39.075963
genetic_algorithm,0,45,0.8,0.0005,0.4,0.05,adamw,32,0.9442059993743896,0.9267241358757019,30,40,87.8,2026-05-28T17:51:15.949353
genetic_algorithm,0,46,0.8,0.0005,0.4,0.05,sgd,32,0.8412017226219177,0.8318965435028076,25,36,93.5,2026-05-28T18:25:01.122942
genetic_algorithm,0,47,0.85,0.0005,0.4,0.02,adamw,16,0.9442059993743896,0.943965494632721,26,37,80.2,2026-05-28T18:26:24.902700
genetic_algorithm,0,48,0.99,0.005,0.4,0.1,adamw,16,0.8884119987487793,0.892241358757019,6,17,42.1,2026-05-28T18:27:10.334182
genetic_algorithm,0,49,0.9,0.0005,0.2,0.05,adamw,32,0.9270386099815369,0.9267241358757019,10,21,50.5,2026-05-28T18:28:04.223467
genetic_algorithm,0,50,0.8,0.005,0.6,0.01,adam,32,0.9184549450874329,0.892241358757019,27,38,71.8,2026-05-28T18:29:19.538412
genetic_algorithm,0,51,0.8,0.001,0.4,0.05,adamw,16,0.9399141669273376,0.9568965435028076,18,29,65.2,2026-05-28T18:30:28.715080
genetic_algorithm,0,52,0.85,0.001,0.4,0.05,adam,8,0.9313304424285889,0.931034505367279,22,33,70.4,2026-05-28T18:31:40.604459
genetic_algorithm,0,53,0.9,0.0005,0.6,0.001,adam,16,0.9313304424285889,0.943965494632721,7,18,48.6,2026-05-28T18:32:33.074309
genetic_algorithm,0,54,0.7,0.005,0.4,0.1,sgd,16,0.9227467775344849,0.9224137663841248,8,19,57.2,2026-05-28T18:33:34.532770
genetic_algorithm,0,55,0.85,0.005,0.4,0.1,adamw,16,0.9356223344802856,0.931034505367279,20,31,65.9,2026-05-28T18:34:44.481402
genetic_algorithm,0,56,0.85,0.005,0.4,0.02,adam,16,0.9270386099815369,0.9181034564971924,16,27,59.4,2026-05-28T18:35:47.978093
genetic_algorithm,0,57,0.85,0.0005,0.2,0.02,adam,8,0.9270386099815369,0.9181034564971924,3,14,38.8,2026-05-28T18:36:28.403045
genetic_algorithm,0,58,0.95,0.001,0.4,0.05,adam,8,0.9098712205886841,0.8965517282485962,7,18,40.8,2026-05-28T18:37:10.833573
genetic_algorithm,0,59,0.8,0.005,0.4,0.05,sgd,32,0.9012875556945801,0.9396551847457886,16,27,58.1,2026-05-28T18:38:13.166752
genetic_algorithm,0,60,0.8,0.001,0.4,0.01,adamw,16,0.9184549450874329,0.943965494632721,15,26,62.0,2026-05-28T18:39:19.358882
genetic_algorithm,0,61,0.9,0.001,0.6,0.01,adam,8,0.9270386099815369,0.9224137663841248,16,27,53.7,2026-05-28T18:40:14.884732
genetic_algorithm,0,62,0.85,0.0001,0.6,0.001,adam,16,0.9012875556945801,0.931034505367279,23,34,67.9,2026-05-28T18:41:27.843367
genetic_algorithm,0,63,0.85,0.001,0.4,0.1,adamw,16,0.9313304424285889,0.943965494632721,3,14,49.4,2026-05-28T18:42:21.930353
genetic_algorithm,0,64,0.85,0.005,0.4,0.1,adam,8,0.9442059993743896,0.9137930870056152,21,32,62.2,2026-05-28T18:43:26.310648
genetic_algorithm,0,65,0.85,0.005,0.4,0.02,adam,8,0.9270386099815369,0.9396551847457886,13,24,52.9,2026-05-28T18:44:21.417046
genetic_algorithm,0,66,0.7,0.005,0.4,0.1,adamw,16,0.9270386099815369,0.9568965435028076,32,40,87.7,2026-05-28T18:45:54.177029
genetic_algorithm,0,67,0.85,0.005,0.4,0.1,adamw,8,0.9399141669273376,0.9224137663841248,19,30,59.3,2026-05-28T18:46:55.909866
genetic_algorithm,0,68,0.85,0.001,0.4,0.1,adam,8,0.9012875556945801,0.9267241358757019,1,12,37.3,2026-05-28T18:47:35.533403
genetic_algorithm,0,69,0.85,0.005,0.4,0.1,adamw,32,0.9270386099815369,0.9267241358757019,27,38,69.7,2026-05-28T18:48:50.112346
genetic_algorithm,0,70,0.9,0.0005,0.6,0.01,adam,8,0.9184549450874329,0.9267241358757019,4,15,38.9,2026-05-28T18:49:31.662305
genetic_algorithm,0,71,0.95,0.0001,0.4,0.02,adam,8,0.9012875556945801,0.8793103694915771,18,29,54.1,2026-05-28T18:50:28.252506
genetic_algorithm,0,72,0.95,0.005,0.4,0.1,adam,16,0.9270386099815369,0.9094827771186829,24,35,64.1,2026-05-28T18:51:37.606755
genetic_algorithm,0,73,0.85,0.0005,0.4,0.1,adamw,16,0.9313304424285889,0.9224137663841248,3,14,49.1,2026-05-28T18:52:32.121142
genetic_algorithm,0,74,0.7,0.005,0.4,0.001,adam,16,0.9399141669273376,0.9396551847457886,25,36,79.8,2026-05-28T18:53:57.919514
genetic_algorithm,0,75,0.9,0.005,0.4,0.1,adamw,16,0.8927038908004761,0.8793103694915771,7,18,52.0,2026-05-28T18:54:55.934072
genetic_algorithm,0,76,0.8,0.005,0.4,0.1,adam,8,0.9442059993743896,0.9267241358757019,16,27,57.5,2026-05-28T18:55:56.303604
genetic_algorithm,0,77,0.85,1e-05,0.4,0.1,adamw,8,0.8283261656761169,0.8017241358757019,30,40,73.9,2026-05-28T18:57:13.329402
genetic_algorithm,0,78,0.99,0.005,0.4,0.02,adam,8,0.8969957232475281,0.9181034564971924,18,29,52.2,2026-05-28T18:58:08.789930
genetic_algorithm,0,79,0.8,0.005,0.4,0.1,adamw,16,0.9098712205886841,0.9181034564971924,12,23,62.4,2026-05-28T18:59:17.519339
genetic_algorithm,0,80,0.7,0.005,0.4,0.1,adam,8,0.9055793881416321,0.9267241358757019,21,32,70.3,2026-05-28T19:00:31.449301
genetic_algorithm,0,81,0.9,0.005,0.4,0.1,sgd,8,0.9399141669273376,0.9137930870056152,11,22,49.2,2026-05-28T19:01:24.522540
genetic_algorithm,0,82,0.8,0.005,0.6,0.1,adam,8,0.9141631126403809,0.931034505367279,18,29,67.2,2026-05-28T19:02:37.173279
genetic_algorithm,0,83,0.8,0.005,0.0,0.1,adam,8,0.9270386099815369,0.931034505367279,18,29,68.4,2026-05-28T19:03:49.574434
genetic_algorithm,0,84,0.85,0.005,0.4,0.1,sgd,16,0.9184549450874329,0.9353448152542114,14,25,68.7,2026-05-28T19:05:09.648876
genetic_algorithm,0,85,0.8,0.005,0.4,0.1,adamw,8,0.9313304424285889,0.8965517282485962,14,25,64.2,2026-05-28T19:06:18.459176
genetic_algorithm,0,86,0.8,5e-05,0.4,0.1,adam,8,0.8969957232475281,0.9181034564971924,16,27,63.4,2026-05-28T19:07:26.918264
genetic_algorithm,0,87,0.7,0.005,0.4,0.001,adam,32,0.9356223344802856,0.9224137663841248,27,38,91.4,2026-05-28T19:09:06.841987
genetic_algorithm,0,88,0.8,0.001,0.4,0.1,sgd,8,0.9098712205886841,0.9094827771186829,15,26,69.1,2026-05-28T19:10:23.448421
genetic_algorithm,0,89,0.9,0.005,0.4,0.001,adamw,16,0.9098712205886841,0.9267241358757019,17,28,77.4,2026-05-28T19:11:51.565040
genetic_algorithm,0,90,0.85,0.005,0.3,0.1,adam,32,0.9399141669273376,0.9353448152542114,26,37,79.6,2026-05-28T19:13:20.293925
genetic_algorithm,0,91,0.85,5e-05,0.4,0.1,adam,16,0.9098712205886841,0.931034505367279,25,36,89.4,2026-05-28T19:14:59.551505
genetic_algorithm,0,92,0.85,0.001,0.4,0.1,sgd,16,0.8755365014076233,0.892241358757019,22,33,85.6,2026-05-28T19:35:34.364300
genetic_algorithm,0,93,0.85,0.005,0.5,0.001,adam,16,0.9313304424285889,0.9181034564971924,27,38,70.5,2026-05-28T19:36:48.274139
genetic_algorithm,0,94,0.85,0.005,0.6,0.01,adam,16,0.9356223344802856,0.9267241358757019,18,29,61.8,2026-05-28T19:37:53.375380
genetic_algorithm,0,95,0.85,0.005,0.4,0.1,adam,32,0.9227467775344849,0.9181034564971924,31,40,78.8,2026-05-28T19:39:15.548157
genetic_algorithm,0,96,0.85,0.0005,0.4,0.1,adam,16,0.9356223344802856,0.9482758641242981,5,16,46.3,2026-05-28T19:40:05.525265
genetic_algorithm,0,97,0.95,0.0001,0.2,0.1,adam,16,0.8969957232475281,0.9008620977401733,26,37,63.7,2026-05-28T19:41:12.975689
genetic_algorithm,0,98,0.85,1e-05,0.4,0.02,adam,16,0.7510729432106018,0.7844827771186829,31,40,75.6,2026-05-28T19:42:32.553486
genetic_algorithm,0,99,0.85,0.005,0.0,0.1,adam,16,0.9484978318214417,0.9353448152542114,29,40,75.4,2026-05-28T19:43:51.939648
genetic_algorithm,1,0,0.8,0.001,0.0,0.005,adam,16,0.9356223344802856,0.9008620977401733,19,30,64.5,2026-05-28T19:45:00.569102
genetic_algorithm,1,1,0.9,0.0005,0.6,0.01,adam,8,0.9098712205886841,0.9267241358757019,5,16,44.5,2026-05-28T19:45:46.579763
